schedule,epsilon,seed,T,d,N,path_length,success,budget_limited
B,0.3,0,5,10,900,89.61063445102103,1,0
B,0.3,1,5,10,900,86.50086728187986,1,0
B,0.3,2,5,10,900,87.53590419668797,1,0
B,0.3,3,5,10,900,87.44706383520784,1,0
B,0.3,4,5,10,900,89.60904405411628,1,0
B,0.2,0,6,12,1600,159.88548452887915,1,0
B,0.2,1,6,12,2300,201.63057155966462,1,0
B,0.2,2,6,12,1600,156.51726830948533,1,0
B,0.2,3,6,12,2300,202.14384282908165,1,0
B,0.2,4,6,12,900,104.4547096298909,1,0
B,0.15,0,11,22,12800,773.7792783303101,1,0
B,0.15,1,11,22,8600,618.1930690969335,1,0
B,0.15,2,11,22,11400,727.065263782041,1,0
B,0.15,3,11,22,10700,699.4987904081071,1,0
B,0.15,4,11,22,2300,278.58643028240175,1,0
B,0.1,0,25,50,500000,8149.388586914023,0,1
B,0.1,1,25,50,500000,8148.356229992735,0,1
B,0.1,2,25,50,500000,8145.184217687647,0,1
B,0.1,3,25,50,500000,8148.3396382749925,0,1
B,0.1,4,25,50,500000,8146.629797585947,0,1
B,0.07,0,50,100,500000,11528.623708357029,0,1
B,0.07,1,50,100,500000,11527.624276046081,0,1
B,0.07,2,50,100,500000,11526.654935242997,0,1
B,0.07,3,50,100,500000,11529.555611450967,0,1
B,0.07,4,50,100,500000,11529.875240051379,0,1
D,0.3,0,5,10,8105,99.79327717216995,1,0
D,0.3,1,5,10,8105,96.8769855882313,1,0
D,0.3,2,5,10,8105,98.49430586824106,1,0
D,0.3,3,5,10,8105,97.85906585391471,1,0
D,0.3,4,5,10,8105,100.31402220561924,1,0
D,0.2,0,6,12,8105,139.28135566770518,1,0
D,0.2,1,6,12,8105,138.28447875871802,1,0
D,0.2,2,6,12,8105,136.8702332822413,1,0
D,0.2,3,6,12,8105,139.93891541158487,1,0
D,0.2,4,6,12,8105,139.7922215545761,1,0
D,0.15,0,11,22,141390,1005.1239531633962,1,0
D,0.15,1,11,22,61630,641.8049882041338,1,0
D,0.15,2,11,22,315445,1549.8110115674504,1,0
D,0.15,3,11,22,40281,509.296416864702,1,0
D,0.15,4,11,22,40281,508.24136737858896,1,0
D,0.1,0,25,50,500078,3263.0845111975946,0,1
D,0.1,1,25,50,500078,3254.953230484461,0,1
D,0.1,2,25,50,500078,3257.7936135195773,0,1
D,0.1,3,25,50,500078,3250.8571563269197,0,1
D,0.1,4,25,50,500078,3254.689615327023,0,1
D,0.07,0,50,100,500078,4251.333410237692,0,1
D,0.07,1,50,100,500078,4249.2561826066885,0,1
D,0.07,2,50,100,500078,4250.835673894958,0,1
D,0.07,3,50,100,500078,4252.1416592728265,0,1
D,0.07,4,50,100,500078,4256.597058468601,0,1
