T,d,schedule,epsilon,seed,N,path_length,success,budget_limited,projection_rate,last_coord_activation_step
10,20,B,0.2,0,3700,354.16615745549956,1,0,0.9472,500
10,20,B,0.2,1,3000,308.71347803937687,1,0,0.949,1000
10,20,B,0.2,2,3000,309.8435911732896,1,0,0.9575,500
10,20,B,0.15,0,9300,617.5609466610186,1,0,0.8669230769230769,500
10,20,B,0.15,1,4400,398.8269592368834,1,0,0.89,500
10,20,B,0.15,2,12800,737.8264953393856,1,0,0.8588888888888889,500
10,20,B,0.1,0,310300,3991.41708775145,1,0,0.6617020316027088,500
10,20,B,0.1,1,85600,2055.5189291377687,1,0,0.684983606557377,500
10,20,B,0.1,2,102400,2257.4638517789354,1,0,0.6788082191780822,500
25,50,B,0.2,0,31000,1871.243913728416,1,0,0.9421818181818182,500
25,50,B,0.2,1,22600,1569.9475728197528,1,0,0.94975,500
25,50,B,0.2,2,15600,1274.2314942573596,1,0,0.956,500
25,50,B,0.15,0,325700,6514.81209875775,1,0,0.8318709677419355,500
25,50,B,0.15,1,259200,5790.233628167664,1,0,0.8335891891891892,500
25,50,B,0.15,2,132500,4082.4159217805227,1,0,0.8473650793650793,500
25,50,B,0.1,0,1000000,11602.853063353947,0,1,0.6704858583029963,500
25,50,B,0.1,1,1000000,11601.144471230231,0,1,0.6707028843461216,500
25,50,B,0.1,2,1000000,11599.268393963643,0,1,0.6725133015961915,500
50,100,B,0.2,0,185700,6835.428307705228,1,0,0.9367773584905661,500
50,100,B,0.2,1,186400,6848.317986431966,1,0,0.936436090225564,500
50,100,B,0.2,2,199700,7099.2229098457,1,0,0.9351649122807018,500
50,100,B,0.15,0,1000000,16387.327416463253,0,1,0.8353948473816858,500
50,100,B,0.15,1,1000000,16386.130221071307,0,1,0.8356664799775974,500
50,100,B,0.15,2,1000000,16384.929853830086,0,1,0.8353612433492019,500
50,100,B,0.1,0,1000000,16424.34715971526,0,1,0.7038574628955475,500
50,100,B,0.1,1,1000000,16423.346284414245,0,1,0.7041991038924671,500
50,100,B,0.1,2,1000000,16421.88744291875,0,1,0.7039960795295436,500
