schedule,epsilon,seed,T,d,N,path_length,success,budget_limited
B,0.3,0,5,10,900,89.61063445102103,1,0
B,0.3,1,5,10,900,86.50086728187986,1,0
B,0.3,2,5,10,900,87.53590419668797,1,0
B,0.3,3,5,10,900,87.44706383520784,1,0
B,0.3,4,5,10,900,89.60904405411628,1,0
B,0.2,0,6,12,1600,159.88548452887915,1,0
B,0.2,1,6,12,2300,201.63057155966462,1,0
B,0.2,2,6,12,1600,156.51726830948533,1,0
B,0.2,3,6,12,2300,202.14384282908165,1,0
B,0.2,4,6,12,900,104.4547096298909,1,0
B,0.15,0,11,22,12800,773.7792783303101,1,0
B,0.15,1,11,22,8600,618.1930690969335,1,0
B,0.15,2,11,22,11400,727.065263782041,1,0
B,0.15,3,11,22,10700,699.4987904081071,1,0
B,0.15,4,11,22,2300,278.58643028240175,1,0
