objective,schedule,epsilon,seed,N,path_length,success
zerochain,A,0.5,0,1,0.0,1
zerochain,A,0.5,1,201,118.43848777113874,1
zerochain,A,0.5,2,201,113.16965672691958,1
zerochain,A,0.5,3,1601,928.0972045746864,1
zerochain,A,0.5,4,1201,688.3666315121415,1
zerochain,A,0.5,5,801,463.64345309870686,1
zerochain,A,0.5,6,201,116.88857831852603,1
zerochain,A,0.5,7,201,116.58608327612735,1
zerochain,A,0.5,8,201,114.02486444048859,1
zerochain,A,0.5,9,201,117.3721730209033,1
zerochain,A,0.3,0,98801,57319.32989659679,1
zerochain,A,0.3,1,34001,19686.984031822692,1
zerochain,A,0.3,2,463601,268643.1323064731,1
zerochain,A,0.3,3,832001,482278.121930115,1
zerochain,A,0.3,4,1000000,579708.1185274593,0
zerochain,A,0.3,5,719201,416956.9229710682,1
zerochain,A,0.3,6,461801,267672.0241944815,1
zerochain,A,0.3,7,476201,276114.46674485056,1
zerochain,A,0.3,8,153801,89149.5598418118,1
zerochain,A,0.3,9,640401,371247.6441147678,1
zerochain,A,0.2,0,1000000,579627.7030829274,budget_limited
zerochain,A,0.2,1,1000000,579675.6539789453,budget_limited
zerochain,A,0.2,2,1000000,579694.3896697777,budget_limited
zerochain,A,0.2,3,1000000,579657.8483124728,budget_limited
zerochain,A,0.2,4,1000000,579708.1185274593,budget_limited
zerochain,A,0.2,5,1000000,579733.5988977567,budget_limited
zerochain,A,0.2,6,1000000,579667.1316886763,budget_limited
zerochain,A,0.2,7,1000000,579707.8848719887,budget_limited
zerochain,A,0.2,8,1000000,580028.4293127006,budget_limited
zerochain,A,0.2,9,1000000,579737.6479757725,budget_limited
zerochain,A,0.15,0,1000000,579627.7030829274,budget_limited
zerochain,A,0.15,1,1000000,579675.6539789453,budget_limited
zerochain,A,0.15,2,1000000,579694.3896697777,budget_limited
zerochain,A,0.15,3,1000000,579657.8483124728,budget_limited
zerochain,A,0.15,4,1000000,579708.1185274593,budget_limited
zerochain,A,0.15,5,1000000,579733.5988977567,budget_limited
zerochain,A,0.15,6,1000000,579667.1316886763,budget_limited
zerochain,A,0.15,7,1000000,579707.8848719887,budget_limited
zerochain,A,0.15,8,1000000,580028.4293127006,budget_limited
zerochain,A,0.15,9,1000000,579737.6479757725,budget_limited
zerochain,A,0.1,0,1000000,579627.7030829274,budget_limited
zerochain,A,0.1,1,1000000,579675.6539789453,budget_limited
zerochain,A,0.1,2,1000000,579694.3896697777,budget_limited
zerochain,A,0.1,3,1000000,579657.8483124728,budget_limited
zerochain,A,0.1,4,1000000,579708.1185274593,budget_limited
zerochain,A,0.1,5,1000000,579733.5988977567,budget_limited
zerochain,A,0.1,6,1000000,579667.1316886763,budget_limited
zerochain,A,0.1,7,1000000,579707.8848719887,budget_limited
zerochain,A,0.1,8,1000000,580028.4293127006,budget_limited
zerochain,A,0.1,9,1000000,579737.6479757725,budget_limited
zerochain,A,0.07,0,1000000,579627.7030829274,budget_limited
zerochain,A,0.07,1,1000000,579675.6539789453,budget_limited
zerochain,A,0.07,2,1000000,579694.3896697777,budget_limited
zerochain,A,0.07,3,1000000,579657.8483124728,budget_limited
zerochain,A,0.07,4,1000000,579708.1185274593,budget_limited
zerochain,A,0.07,5,1000000,579733.5988977567,budget_limited
zerochain,A,0.07,6,1000000,579667.1316886763,budget_limited
